City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,aljezur,37.3191,-8.8033,289.9,93,100,2.61,PT,1702358366
335,guerrero negro,27.9769,-114.0611,291.08,62,100,3.54,MX,1702358366
336,quinte west,44.1834,-77.5662,273.45,75,75,3.6,CA,1702358367
337,codrington,-38.2667,141.9667,309.35,25,94,4.45,AU,1702358367
338,ta`u,-14.2336,-169.5144,299.78,87,98,7.48,AS,1702358367
339,smithers,54.7804,-127.1743,268.33,93,100,3.09,CA,1702358368
340,loango,-4.6719,11.8312,297.55,90,100,2.33,CG,1702358368
341,hammerfest,70.6634,23.6821,272.4,93,100,4.63,NO,1702358369
342,bend,44.0582,-121.3153,277.8,93,100,4.12,US,1702358369
343,turan,16.0678,108.2208,300.14,78,75,1.54,VN,1702358369
344,pullman,46.7313,-117.1796,277.28,95,100,0.0,US,1702358370
345,rondonopolis,-16.4708,-54.6356,296.37,90,59,1.14,BR,1702358370
346,shimoda,34.6667,138.95,288.35,92,91,1.89,JP,1702358316
347,peterhead,57.5058,-1.7981,279.42,77,100,9.26,GB,1702358371
348,guarapari,-20.6667,-40.4975,298.65,92,100,4.17,BR,1702358241
349,lospalos,-8.5186,127.0025,301.87,68,99,0.9,TL,1702358372
350,wynyard,-41.0,145.7167,292.77,67,100,2.96,AU,1702358372
351,amga,60.8953,131.9608,245.76,95,100,3.14,RU,1702358373
352,battagram,34.6772,73.0233,286.27,24,12,1.05,PK,1702358373
353,kabinda,-6.1333,24.4833,293.14,95,100,1.19,CD,1702358373
354,conde,-7.2597,-34.9075,297.85,88,20,2.06,BR,1702358374
355,crane,31.3974,-102.3501,282.66,38,51,4.87,US,1702358374
356,ancud,-41.8697,-73.8203,282.31,84,76,3.53,CL,1702358374
357,nefta,33.8731,7.8777,284.29,50,8,2.6,TN,1702358375
358,labytnangi,66.6572,66.4183,250.06,95,100,3.72,RU,1702358375
359,nuriootpa,-34.4833,139.0,297.81,37,63,4.41,AU,1702358375
360,karachev,53.1229,34.9852,272.28,98,100,5.37,RU,1702358376
361,mar del plata,-38.0023,-57.5575,292.56,89,37,9.83,AR,1702358376
362,mongo,12.1844,18.693,290.13,30,91,3.12,TD,1702358376
